Country,Pop2020,Rate2020,Rate2015to20,Rate1950to2020,Continent
Niger,24206644,3.84,21.02,845.68,Africa
Bahrain,1701575,3.68,24.03,1371.81,Asia
Equatorial Guinea,1402985,3.47,20.06,522.06,Africa
Uganda,45741007,3.32,19.66,786.76,Africa
Angola,32866272,3.27,17.87,622.65,Africa
Democratic Republic of the Congo,89561403,3.19,17.47,635.09,Africa
Burundi,11890784,3.12,17.03,414.99,Africa
Falkland Islands (Malvinas),3480,3.05,22.79,54.05,South America
Mali,20250833,3.02,16.13,330.10,Africa
Chad,16425864,3.00,16.40,556.43,Africa
United Republic of Tanzania,59734218,2.98,16.03,680.86,Africa
Gambia,2416668,2.94,15.86,692.64,Africa
Mozambique,31255435,2.93,15.58,424.51,Africa
Zambia,18383955,2.93,15.77,695.69,Africa
Somalia,15893222,2.92,15.19,601.97,Africa
Burkina Faso,20903273,2.86,15.42,387.89,Africa
Guinea,13132795,2.83,14.88,335.88,Africa
Senegal,16743927,2.75,14.85,573.36,Africa
Mauritania,4649658,2.74,14.91,613.76,Africa
Benin,12123200,2.73,14.63,437.56,Africa
French Guiana,298682,2.70,14.44,1072.59,South America
Malawi,19129952,2.69,14.24,547.62,Africa
Madagascar,27691018,2.68,14.26,578.11,Africa
Oman,5106626,2.65,19.67,1018.85,Asia
Cameroon,26545863,2.59,13.94,516.34,Africa
Rwanda,12952218,2.58,13.93,492.46,Africa
Nigeria,206139589,2.58,13.80,444.48,Africa
Ethiopia,114963588,2.57,14.01,534.18,Africa
Côte d'Ivoire,26378274,2.57,13.57,902.92,Africa
Congo,5518087,2.56,13.63,567.04,Africa
Western Sahara,597339,2.55,13.52,4239.23,Africa
Solomon Islands,686884,2.55,13.89,664.96,Oceania
Syrian Arab Republic,17500658,2.52,-2.76,412.71,Asia
Mayotte,272815,2.50,13.66,1701.83,Africa
Guinea-Bissau,1968001,2.45,13.29,267.56,Africa
Gabon,2225734,2.45,14.28,370.26,Africa
Liberia,5057681,2.44,13.09,443.82,Africa
Togo,8278724,2.43,13.05,493.26,Africa
Vanuatu,307145,2.42,13.28,543.95,Oceania
Sudan,43849260,2.42,12.71,664.75,Africa
State of Palestine,5101414,2.41,12.63,447.40,Asia
Afghanistan,38928346,2.33,13.12,402.16,Asia
Tajikistan,9537645,2.32,12.82,522.76,Asia
Iraq,40222493,2.32,13.07,603.29,Asia
Kenya,53771296,2.28,12.31,784.87,Africa
Yemen,29825964,2.28,12.56,539.87,Asia
Comoros,869601,2.20,11.86,445.34,Africa
Ghana,31072940,2.15,11.58,517.00,Africa
Sierra Leone,7976983,2.10,11.23,290.80,Africa
Botswana,2351627,2.08,10.89,470.05,Africa
Pakistan,220892340,2.00,10.76,488.38,Asia
Timor-Leste,1318445,1.96,10.21,217.88,Asia
Papua New Guinea,8947024,1.95,10.35,346.87,Oceania
Egypt,102334404,1.94,10.70,400.36,Africa
Sao Tome and Principe,219159,1.91,9.89,265.25,Africa
Guatemala,17915568,1.90,10.23,475.15,North America
Belize,397628,1.86,10.17,476.95,North America
Namibia,2540905,1.86,9.76,393.97,Africa
Algeria,43851044,1.85,10.38,394.25,Africa
Nepal,29136808,1.85,7.85,243.46,Asia
Maldives,540544,1.81,18.82,633.32,Asia
Central African Republic,4829767,1.78,7.49,264.06,Africa
Saint-Martin (French part),38666,1.75,7.83,1187.58,North America
Qatar,2881053,1.73,12.29,11422.83,Asia
Kyrgyzstan,6524195,1.69,9.48,274.95,Asia
Luxembourg,625978,1.66,10.45,111.48,Europe
Mongolia,3278290,1.65,9.33,320.19,Asia
Honduras,9904607,1.63,8.69,540.36,North America
Panama,4314767,1.61,8.73,401.92,North America
Israel,8655535,1.60,8.49,588.06,Asia
Saudi Arabia,34813871,1.59,9.76,1015.35,Asia
Kiribati,119449,1.57,7.68,261.44,Oceania
Ecuador,17643054,1.55,8.83,408.42,South America
Kuwait,4270571,1.51,11.34,2689.44,Asia
Turkmenistan,6031200,1.50,8.37,398.04,Asia
Zimbabwe,14862924,1.48,7.59,441.09,Africa
Djibouti,988000,1.48,8.10,1493.52,Africa
Lao People's Democratic Republic,7275560,1.48,7.93,332.32,Asia
Uzbekistan,33469203,1.48,8.21,434.31,Asia
Peru,32971854,1.42,8.21,323.94,South America
Eritrea,3546421,1.41,6.09,331.25,Africa
Cambodia,16718965,1.41,7.72,277.17,Asia
Bolivia (Plurinational State of),11673021,1.39,7.39,278.77,South America
"China, Macao SAR",649335,1.39,7.85,230.48,Asia
Libya,6871292,1.38,7.06,511.04,Africa
Turks and Caicos Islands,38717,1.38,7.60,666.52,North America
Philippines,109581078,1.35,7.31,489.76,Asia
Malaysia,32365999,1.30,6.92,429.73,Asia
Iran (Islamic Republic of),83992949,1.30,7.01,390.63,Asia
South Africa,59308690,1.28,7.08,335.18,Africa
Tokelau,1357,1.27,8.39,-13.35,Oceania
Tuvalu,11792,1.25,6.24,152.34,Oceania
Paraguay,7132538,1.25,6.63,384.14,South America
Haiti,11402528,1.24,6.61,253.97,North America
United Arab Emirates,9890402,1.23,6.77,14112.80,Asia
Kazakhstan,18776707,1.21,6.86,180.12,Asia
Nicaragua,6624554,1.21,6.45,411.55,North America
Morocco,36910560,1.20,6.48,310.76,Africa
Cayman Islands,65722,1.19,6.48,924.19,North America
South Sudan,11193725,1.19,4.46,350.94,Africa
Australia,25499884,1.18,6.55,211.84,Oceania
Sint Maarten (Dutch part),42876,1.15,7.28,2760.31,North America
Tonga,105695,1.15,4.88,123.84,Oceania
Ireland,4937786,1.13,6.13,69.53,Europe
Bhutan,771608,1.12,6.01,336.44,Asia
Cabo Verde,555987,1.10,5.95,212.24,Africa
Turkey,84339067,1.09,7.40,293.95,Asia
Colombia,50882891,1.08,7.08,324.68,South America
Indonesia,273523615,1.07,5.86,293.31,Asia
Mexico,128932753,1.06,5.81,361.39,North America
