TcCB,Area
0.22,Reference
0.23,Reference
0.26,Reference
0.27,Reference
0.28,Reference
0.28,Reference
0.29,Reference
0.33,Reference
0.34,Reference
0.35,Reference
0.38,Reference
0.39,Reference
0.39,Reference
0.42,Reference
0.42,Reference
0.43,Reference
0.45,Reference
0.46,Reference
0.48,Reference
0.5,Reference
0.5,Reference
0.51,Reference
0.52,Reference
0.54,Reference
0.56,Reference
0.56,Reference
0.57,Reference
0.57,Reference
0.6,Reference
0.62,Reference
0.63,Reference
0.67,Reference
0.69,Reference
0.72,Reference
0.74,Reference
0.76,Reference
0.79,Reference
0.81,Reference
0.82,Reference
0.84,Reference
0.89,Reference
1.11,Reference
1.13,Reference
1.14,Reference
1.14,Reference
1.2,Reference
1.33,Reference
0.09,Cleanup
0.09,Cleanup
0.09,Cleanup
0.12,Cleanup
0.12,Cleanup
0.14,Cleanup
0.16,Cleanup
0.17,Cleanup
0.17,Cleanup
0.17,Cleanup
0.18,Cleanup
0.19,Cleanup
0.2,Cleanup
0.2,Cleanup
0.21,Cleanup
0.21,Cleanup
0.22,Cleanup
0.22,Cleanup
0.22,Cleanup
0.23,Cleanup
0.24,Cleanup
0.25,Cleanup
0.25,Cleanup
0.25,Cleanup
0.25,Cleanup
0.26,Cleanup
0.28,Cleanup
0.28,Cleanup
0.29,Cleanup
0.31,Cleanup
0.33,Cleanup
0.33,Cleanup
0.33,Cleanup
0.34,Cleanup
0.37,Cleanup
0.38,Cleanup
0.39,Cleanup
0.4,Cleanup
0.43,Cleanup
0.43,Cleanup
0.47,Cleanup
0.48,Cleanup
0.48,Cleanup
0.49,Cleanup
0.51,Cleanup
0.51,Cleanup
0.54,Cleanup
0.6,Cleanup
0.61,Cleanup
0.62,Cleanup
0.75,Cleanup
0.82,Cleanup
0.85,Cleanup
0.92,Cleanup
0.94,Cleanup
1.05,Cleanup
1.1,Cleanup
1.1,Cleanup
1.19,Cleanup
1.22,Cleanup
1.33,Cleanup
1.39,Cleanup
1.39,Cleanup
1.52,Cleanup
1.53,Cleanup
1.73,Cleanup
2.35,Cleanup
2.46,Cleanup
2.59,Cleanup
2.61,Cleanup
3.06,Cleanup
3.29,Cleanup
5.56,Cleanup
6.61,Cleanup
18.4,Cleanup
51.97,Cleanup
168.64,Cleanup
