Sex,Tail,Wing
M,180,278
M,186,277
M,206,308
M,184,290
M,177,273
M,177,284
M,176,267
M,200,281
M,191,287
M,193,271
M,212,302
M,181,254
M,195,297
M,187,281
M,190,284
M,185,282
M,195,285
M,183,276
M,202,308
M,177,254
M,177,268
M,170,260
M,186,274
M,177,272
M,178,266
M,192,281
M,204,276
M,191,290
M,178,265
M,177,275
M,284,277
M,176,281
M,185,287
M,191,295
M,177,267
M,197,310
M,199,299
M,190,273
M,180,278
M,189,280
M,194,290
M,186,287
M,191,286
M,187,288
M,186,275
F,191,284
F,197,285
F,208,288
F,180,273
F,180,275
F,188,280
F,210,283
F,196,288
F,191,271
F,179,257
F,208,289
F,202,285
F,200,272
F,192,282
F,199,280
F,186,266
F,197,285
F,201,295
F,190,282
F,209,305
F,187,285
F,207,297
F,178,268
F,202,271
F,205,285
F,190,280
F,189,277
F,211,310
F,216,305
F,189,274
F,173,271
F,194,280
F,198,300
F,180,272
F,190,292
F,191,286
F,196,285
F,207,286
F,209,303
F,179,261
F,186,262
F,174,245
F,181,250
F,189,262
F,188,258
