Year,GrossWeight
Y2016,53.8
Y2016,52.8
Y2016,57.8
Y2016,50.9
Y2016,56.7
Y2016,52.0
Y2016,50.1
Y2016,53.6
Y2016,54.6
Y2016,53.3
Y2016,51.3
Y2016,47.3
Y2016,52.1
Y2016,57.0
Y2016,49.3
Y2016,53.7
Y2016,52.6
Y2016,50.2
Y2016,47.6
Y2016,48.2
Y2016,50.6
Y2016,50.4
Y2016,52.3
Y2016,45.2
Y2016,55.7
Y2016,48.1
Y2016,54.1
Y2016,49.4
Y2016,56.1
Y2016,50.1
Y2017,49.9
Y2017,53.9
Y2017,50.1
Y2017,52.2
Y2017,52.4
Y2017,48.0
Y2017,52.3
Y2017,52.8
Y2017,49.9
Y2017,51.9
Y2017,52.7
Y2017,55.1
Y2017,53.9
Y2017,49.0
Y2017,55.0
Y2017,49.0
Y2017,50.5
Y2017,50.3
